brain
cerebellum
diencephalon
occipital_pole
medulla_oblongata
corpus_striatum
amygdala
corpus_callosum
peripheral_nervous_system
substantia_nigra
cerebral_cortex
neuron
frontal_lobe
spinal_cord
nucleus_accumbens
caudate_putamen
temporal_lobe
basal_ganglion
parietal_lobe
hippocampus
cerebellar_cortex
forebrain
caudate_nucleus
telencephalon
locus_ceruleus
hypothalamus
astrocyte
central_nervous_system
occipital_lobe
thalamus
subthalamic_nucleus
dentate_gyrus
midbrain
pons
glia
nervous_system
